file,pubDate
arctic-data.9409.6,2016-07-20
arctic-data.9411.4,2016-07-26
arctic-data.9414.4,2016-08-02
arctic-data.9418.5,2016-08-02
arctic-data.9422.5,2016-08-22
arctic-data.9424.1,2016-08-04
arctic-data.9431.7,2016-08-08
arctic-data.9445.4,2016-08-11
arctic-data.9448.5,2016-08-11
arctic-data.9450.4,2016-08-11
arctic-data.9452.5,2016-08-12
arctic-data.9454.6,2016-08-25
arctic-data.9456.4,2016-08-15
arctic-data.9459.3,2016-08-25
arctic-data.9464.2,2016-08-16
arctic-data.9493.3,2016-08-23
arctic-data.9497.15,2016-08-25
arctic-data.9499.8,2016-08-30
arctic-data.9511.3,2016-09-01
arctic-data.9512.2,2016-09-02
arctic-data.9513.6,2016-09-02
arctic-data.9514.1,2016-09-09
arctic-data.9519.1,2016-09-15
arctic-data.9521.8,2016-09-15
arctic-data.9523.3,2016-09-16
arctic-data.9529.7,2016-09-21
arctic-data.9532.8,2016-09-22
arctic-data.9543.1,2016-09-23
arctic-data.9545.3,2016-10-04
arctic-data.9547.3,2016-10-04
arctic-data.9548.2,2016-10-05
arctic-data.9552.3,2016-10-05
arctic-data.9554.5,2016-10-10
arctic-data.9556.6,2016-10-10
arctic-data.9558.1,2016-10-10
arctic-data.9560.8,2016-10-14
arctic-data.9567.3,2016-10-14
arctic-data.9570.3,2016-10-14
arctic-data.9571.1,2016-10-14
arctic-data.9583.2,2016-10-14
arctic-data.9585.2,2016-10-17
arctic-data.9587.15,2011-10-21
arctic-data.9590.11,2016-10-24
arctic-data.9644.3,2016-10-25
arctic-data.9657.3,2016-12-12
arctic-data.9659.4,2016-10-28
arctic-data.9660.6,2016-12-12
arctic-data.9663.4,2016-11-01
arctic-data.9665.1,2016-11-01
arctic-data.9670.5,2016-11-03
arctic-data.9674.1,2016-11-03
arctic-data.9676.5,2016-11-03
arctic-data.9677.10,2016-11-05
arctic-data.9687.1,2016-11-09
arctic-data.9688.1,2016-11-09
arctic-data.9689.1,2016-11-09
arctic-data.9690.1,2016-11-09
arctic-data.9695.1,2016-11-09
arctic-data.9696.12,2016-11-09
arctic-data.9698.5,2016-11-30
arctic-data.9723.1,2016-11-11
arctic-data.9727.4,2016-11-11
arctic-data.9733.1,2016-11-11
arctic-data.9734.1,2016-11-11
arctic-data.9743.1,2016-11-11
arctic-data.9752.1,2016-11-11
arctic-data.9784.1,2016-11-11
arctic-data.9785.1,2016-11-11
arctic-data.9787.1,2016-11-11
arctic-data.9789.11,2016-11-13
arctic-data.9797.3,2016-11-16
arctic-data.9799.8,2016-12-06
arctic-data.9804.4,2016-11-22
arctic-data.9806.3,2016-11-22
arctic-data.9808.3,2016-11-22
arctic-data.9810.3,2016-11-22
arctic-data.9812.3,2016-11-21
arctic-data.9814.3,2016-11-22
arctic-data.9816.3,2016-11-22
arctic-data.9820.9,2016-12-08
arctic-data.9822.8,2016-11-27
arctic-data.9824.3,2016-11-28
arctic-data.9825.3,2016-11-29
arctic-data.9827.23,2018-01-18
arctic-data.9829.4,2016-12-06
arctic-data.9831.4,2016-12-06
arctic-data.9834.26,2018-01-18
arctic-data.9837.25,2018-01-18
arctic-data.9842.23,2018-01-18
arctic-data.9845.21,2018-01-12
arctic-data.9848.19,2016-11-29
arctic-data.9849.7,2017-02-22
arctic-data.9852.22,2016-11-29
arctic-data.9865.5,2016-11-30
arctic-data.9866.2,2016-11-30
arctic-data.9867.1,2016-11-30
arctic-data.9871.4,2016-12-01
arctic-data.9872.2,2016-12-12
arctic-data.9875.17,2016-12-05
arctic-data.9878.7,2016-12-05
arctic-data.9883.8,2016-12-08
arctic-data.9885.7,2016-12-08
arctic-data.9887.9,2016-12-08
arctic-data.9892.4,2016-12-13
arctic-data.9894.1,2016-12-09
arctic-data.9896.1,2016-12-09
arctic-data.9897.2,2016-12-09
arctic-data.9898.1,2016-12-13
arctic-data.9900.10,2016-12-13
arctic-data.9901.4,2016-12-14
arctic-data.9903.5,2016-12-15
arctic-data.9905.4,2016-12-16
arctic-data.9907.4,2016-12-16
arctic-data.9909.4,2016-12-16
arctic-data.9911.4,2016-12-16
arctic-data.9913.4,2016-12-16
arctic-data.9916.5,2016-12-16
arctic-data.9919.4,2016-12-16
arctic-data.9922.4,2016-12-16
arctic-data.9924.5,2016-12-16
arctic-data.9926.4,2016-12-16
arctic-data.9928.4,2016-12-16
arctic-data.9930.4,2016-12-16
arctic-data.9932.3,2016-12-16
arctic-data.9935.5,2016-12-16
arctic-data.9937.5,2016-12-19
arctic-data.9939.7,2016-12-20
arctic-data.9944.3,2016-12-22
arctic-data.9955.8,2016-12-22
arctic-data.9959.4,2016-12-21
arctic-data.9963.5,2016-12-22
arctic-data.9967.6,2016-12-22
arctic-data.9969.14,2016-12-22
arctic-data.9973.9,2016-12-22
arctic-data.9977.9,2016-12-22
arctic-data.9980.2,2016-12-28
arctic-data.9993.1,2016-12-28
autogen.2016032220321169105.3,2013-12-16
autogen.2016032220325294816.2,2009-11-18
autogen.2016032220325675217.2,2012-11-09
autogen.2016032220330079218.2,2012-11-09
autogen.2016032220330418919.2,2012-11-09
autogen.2016032220330714320.2,2012-11-09
autogen.2016032220331050121.2,2012-11-09
autogen.2016032220331398422.2,2012-06-22
autogen.2016032220331788023.2,2012-06-21
autogen.2016032220332175224.2,2012-06-21
autogen.2016032220332494125.2,2012-06-21
autogen.2016032220332891026.2,2012-06-21
autogen.2016032220333313027.2,2012-06-21
autogen.2016032220333645228.2,2012-06-21
autogen.2016032220333961729.2,2012-06-21
autogen.2016032220334275230.2,2012-06-21
autogen.2016032220334665331.2,2012-06-21
autogen.2016032220335000532.2,2012-06-21
autogen.2016032220335379733.2,2012-06-21
autogen.2016032220335800634.2,2012-06-21
autogen.2016032220340142635.2,2012-06-21
autogen.2016032220340508236.2,2012-06-21
autogen.2016032220340870537.2,2012-06-21
autogen.2016032220341246838.2,2012-06-21
autogen.2016032220341547939.2,2012-06-21
autogen.2016032220341931940.2,2012-06-21
autogen.2016032220342331441.2,2012-06-21
autogen.2016032220342729842.2,2012-06-21
autogen.2016032220343095843.2,2012-06-21
autogen.2016032220343492444.2,2012-06-21
autogen.2016032220343818845.2,2012-06-21
autogen.2016032220344137546.2,2012-06-21
autogen.2016032220344557447.2,2012-06-21
autogen.2016032220344934548.2,2012-06-21
autogen.2016032220345272049.2,2013-09-10
autogen.2016032220345674250.2,2012-06-22
autogen.2016032220350000051.2,2012-06-21
autogen.2016032220350384352.2,2012-06-21
autogen.2016032220350716453.2,2012-06-22
autogen.2016032220351030054.2,2012-06-22
autogen.2016032220351308555.2,2012-06-22
autogen.2016032220351645056.2,2012-06-22
autogen.2016032220352038257.2,2012-06-22
autogen.2016032220352421358.2,2012-06-22
autogen.2016032220352747159.2,2012-06-21
autogen.2016032220353177660.2,2012-06-21
autogen.2016032220353568761.2,2012-06-20
autogen.2016032220353943362.2,2012-06-20
autogen.2016032220354298263.2,2012-06-22
autogen.2016032220354645364.2,2012-06-22
autogen.2016032220355085865.2,2012-06-22
autogen.2016032220355418766.2,2012-06-22
autogen.2016032220355768367.2,2012-06-22
autogen.2016032220360119268.2,2012-06-22
autogen.2016032220360418469.2,2012-06-22
autogen.2016032220360757970.3,2016-01-04
autogen.2016032220361117271.2,2012-06-22
autogen.2016032220361517272.2,2012-06-22
autogen.2016032220361894773.2,2012-06-22
autogen.2016032220362311074.2,2012-06-22
autogen.2016032220362664375.2,2012-06-22
autogen.2016032220363020976.2,2012-06-22
autogen.2016032220363391677.2,2012-06-21
autogen.2016032220363705378.2,2014-07-11
autogen.2016032220364017679.2,2015-11-12
autogen.2016032220364392280.2,2015-02-27
autogen.2016032220364617381.3,2014-07-01
autogen.2016032220364968482.3,2014-07-01
autogen.2016032220365298983.3,2014-07-01
autogen.2016032220365633284.3,2014-07-01
autogen.2016032220365946885.2,2013-02-17
autogen.2016032220370298786.2,2012-12-06
autogen.2016032220370608687.2,2009-11-18
autogen.2016032220370941888.2,2010-12-28
autogen.2016032220371353189.2,2009-11-18
autogen.2016032220371829390.2,2015-11-07
autogen.2016032220372211991.2,2015-11-07
autogen.2016032220372588992.2,2015-11-06
autogen.2016032220372965593.2,2015-10-20
autogen.2016032220373268094.2,2015-04-21
autogen.2016032220373660395.2,2015-04-20
autogen.2016032220373970996.3,2009-11-18
autogen.2016032220374319897.3,2009-11-18
autogen.2016032220374648998.3,2009-11-18
autogen.2016032220374967199.2,2009-11-18
autogen.20160322203754185100.2,2010-04-20
autogen.2016032220375818500.3,2010-05-27
autogen.2016032220380143701.3,2009-11-18
autogen.2016032220380506302.2,2011-07-29
autogen.2016032220380859803.2,2011-07-29
autogen.2016032220381271004.2,2012-10-17
autogen.2016032220381648205.3,2012-10-04
autogen.2016032220382100806.2,2015-11-24
autogen.2016032220382491007.2,2010-06-05
autogen.2016032220382871408.5,2014-05-06
autogen.2016032220383208109.3,2015-10-20
autogen.2016032220383535610.2,2015-11-06
autogen.2016032220383929111.3,2009-11-18
autogen.2016032220384576413.3,2009-11-18
autogen.2016032220385297215.3,2009-11-18
autogen.2016032220385766116.3,2009-11-18
autogen.2016032220390156317.2,2009-11-18
autogen.2016032220390479018.2,2009-11-18
autogen.2016032220390947219.2,2009-11-18
autogen.2016032220391303820.2,2009-11-18
autogen.2016032220391693221.2,2009-11-18
autogen.2016032220392011422.2,2009-11-18
autogen.2016032220392378823.5,2009-11-18
autogen.2016032220392671124.3,2009-11-18
autogen.2016032220393027325.3,2009-11-18
autogen.2016032220393341926.3,2010-07-08
autogen.2016032220393748627.3,2010-07-08
autogen.2016032220394166428.3,2010-07-08
autogen.2016032220394647629.3,2009-11-18
autogen.2016032220395050230.3,2010-07-08
autogen.2016032220395475631.3,2010-07-08
autogen.2016032220395917032.5,2009-11-18
autogen.2016032220400292633.6,2009-11-18
autogen.2016032220400796534.2,2015-04-23
autogen.2016032220401151235.2,2011-04-10
