"funding","title"
"1023396","Effects of Environmental Change on Arctic-Breeding Shorebirds"
"0732885","IPY Back to the Future (BTF): Re-sampling old research sites to assess change in high latitude terrestrial ecosystem structure and function"
"6748074","NA"
"1267200","NA"
"1131520","NA"
"2145792","NA"
"6193507","NA"
"7951411","NA"
"1263005","Collaborative Research: REU Site: Svalbard REU: Holocene and Modern Climate Change in the Norwegian High Arctic"
"1262871","Collaborative Research: REU Site: Svalbard REU: Holocene and Modern Climate Change in the Norwegian High Arctic"
"1023191","Deciphering 6 My of the Greenland Ice Sheet History using in situ 10-Be from marine sediment cores"
"1014553","NA"
"1031063","NA"
"1133585","NA"
"1092241","NA"
"1034097","NA"
"1083645","NA"
"1126875","NA"
"1147337","SI2-SSE Collaborative Research: SPIKE-An Implementation of a Recursive Divide-and-Conquer Parallel Strategy for Solving Large Systems of Linear Equations"
"1111244","NA"
"1009097","NA"
"1048949","NA"
"1036776","NA"
"1118664","Collaborative Research: ScratchJr: Computer Programming in Early Childhood Education as a Pathway to Academic Readiness and Success"
"1096509","NA"
"1062170","Genome Structure and Variation Workshop to be held in the summer 2011 at Rutgers Center for Discrete Mathematics and Theoretical Computer Science (DIMACS)."
"1147812","EAGER: Self-Repairable Glass-Ceramic Composites for Solid Oxide Fuel Cells"
"1183451","NA"
"1086915","NA"
"1034680","NA"
"1003080","Interacting Two Dimensional Electron Systems"
"1002555","NA"
"1699167","NA"
"0163212","NA"
"2639796","NA"
"4094198","NA"
"1452779","Graduate Research Fellowship Program (GRFP)"
"4895374","NA"
"1338380","NA"
"3796411","NA"
"1058432","Partnership for Expanding ""Exploring Computer Science"" (PEECS)"
"4015380","NA"
"1359833","NA"
"0856330","Collaborative Research: Sustained Observations of the North Pole Environment to Characterize Ongoing Arctic Change"
"1022475","Collaborative Research:  Long-term Observations in the Switchyard Region of the Arctic Ocean as part of the Arctic Observing Network (AON)"
"1304052","Collaborative Research:  A Bering Strait Ocean Observing System for the Pacific Inflow to the Arctic- a fundamental part of the Arctic Observing Network"
"1203262","Collaborative Research:  Seasonal Synergy between Bacterial Osmoprotection and Algal Production in Sea Ice"
"1203267","Collaborative Research: Seasonal Synergy between Bacterial Osmoprotection and Algal Production in Sea Ice"
"1758729","NA"
"2897234","NA"
"4625365","NA"
"1417789","Mapping and Quantifying Methane Seeps on the Eastern Siberian Shelf and Slope -- A Component of the Swedish Russian U.S. Climate-Cryosphere-Carbon Interactions (SWERUS-C3) Program"
"3977770","NA"
"1022472","The Arctic Observing Network at Critical Gateways--A Sustained Observing System at Davis Strait"
"1263854","Cumulative Effects of Arctic Oil Development - planning and designing for sustainability"
"0732726","Collaborative Research: IPY:  Dynamic Controls on Tidewater Glacier Retreat"
"1204223","NEEM basal ice, assessing the attributes of a cold, deep, dark ecosystem"
"0909372","Impacts of Climate Change and Ice Conditions on Microbial Food Web Dynamics in the Barents Sea"
"0519840","Student-PARTNERS:  A Pan-Arctic Science and Education Collaboration"
"1932825","NA"
"5516156","NA"
"1107593","Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape  at Flagship Observatories in Alaska and Siberia"
"1107707","Collaborative Research on Carbon, Water, and Energy Balance of the Arctic Landscape  at Flagship Observatories in Alaska and Siberia"
"1546002","Collaborative research: Spatial and temporal variability of surface albedo and light absorbing chemical species in Greenland."
"2588701","NA"
"0856177","UpTempO: Measuring the Upper Layer Temperature of the Arctic Ocean"
"1203506","UpTempO:  Measuring the Upper Layer Temperature of the Arctic Ocean"
"1865279","NA"
"1023270","Collaborative Research: Turning on the lights - Photochemical and microbial processing of newly exposed carbon in arctic ecosystems"
"1351745","CAREER:   The Role of Iron and Reactive Oxygen Species in the Oxidation and Fate of DOM in Natural Waters"
"4463104","NA"
"8659968","NA"
"1642016","Collaborative Research:   The Ends of Oil: Changing Life in Earth Science, Extractive Industry, and Indigenous Communities in Alaska"
"1108074","Modeling and Isotopes Link Mycorrhizal Fungi to Soil Carbon and Organic Nitrogen Use"
"1023334","Population genetics of a climate-indicating predator across the forest-tundra ecotone"
"1504521","Collaborative Research: Impact of subglacial discharge on turbulent plume dynamics and ocean-glacier heat and mass transfer"
"1504288","Collaborative Research: Impact of subglacial discharge on turbulent plume dynamics and ocean-glacier heat and mass transfer"
"2206762","NA"
"4311405","NA"
"3364144","NA"
"0713943","Collaborative Research:  A Synthesis of Existing and New Observations of Air-Snowpack Exchanges to Assess the Arctic"
"1127959","NA"
"1283029","NA"
"1253713","CAREER: Tracking the evolution of grasses and grasslands: using phytoliths to explore evolution-ecology links in deep time"
"1047681","NA"
"1185194","NA"
"1204247","Longitudinal variation in the physiology, growth and reproduction of white spruce at the Arctic treeline in Alaska"
"7662624","NA"
"8091640","NA"
"8091760","NA"
"6658040","NA"
"7021856","NA"
"7021976","NA"
"9866536","NA"
"9515236","NA"
"9321781","NA"
"6704853","NA"
"9748476","NA"
"9805863","NA"
"8979021","NA"
"9861790","NA"
"9299692","NA"
"9820183","NA"
"9833029","NA"
"9500875","Mathematical Sciences: Phenomena of Metric Topology and     Their Applications"
"9312924","NA"
"9314055","NA"
"9822403","NA"
"9427104","NA"
"9339944","NA"
"9375264","NA"
"9236126","NA"
"9935582","NA"
"7034006","NA"
"9444518","NA"
"9909909","NA"
"9925533","NA"
"9926664","NA"
"9956137","NA"
"9996241","Toward Cognitive Game Theory: Experimental Investigation    of Learning and Adaptive Behavior"
"9837967","NA"
"9935968","NA"
"7034392","NA"
"9444904","NA"
"9910295","NA"
"9925919","NA"
"9927050","NA"
"9956523","NA"
"9996627","NA"
"9838353","NA"
"7622331","NA"
"8109356","NA"
"8109742","NA"
"8478635","NA"
"9796545","NA"
"9895535","NA"
"8887440","NA"
"8771456","NA"
"8010779","NA"
"7931135","NA"
"9510113","Workshop:  Food Web Structure and Dynamics in Marine,       Terrestrial and Freshwater Environments, Summer 1995 at     Cornell University"
"9164196","NA"
"9631609","NA"
"9498881","NA"
"8630564","NA"
"8540152","NA"
"9164582","NA"
"9631995","NA"
"9499267","NA"
"8630950","NA"
"8540538","NA"
"6395588","NA"
"6396700","NA"
"6403352","NA"
"6394480","NA"
"6397808","NA"
"6402244","NA"
"1106362","Ethnoarchaeological investigation of the Yup'ik seal poke storage system in southwestern Alaska"
"1301927","Collaborative Research:   Geological Hazards, Climate Change, and Human/Ecosystems Resilience in the Islands of the Four Mountains, Alaska."
"2148484","NA"
"1641573","NA"
"1107761","Collaborative Research:  Are There Natural Climate Cycles in the Holocene Variations of Arctic Sea Ice and Greenland Icebergs Across the Denmark Strait?"
"1203472","Collaborative Research: Quantifying changes in the Arctic hydrological cycle at the landscape scale using advances in water vapor isotope (18O & D) techniques and aircraft"
"1332268","Collaborative Research: Quantifying changes in the Arctic hydrological cycle at the landscape scale using advances in water vapor isotope (d18O and dD) techniques and aircraft"
