funding_num,date,expDate,fundProgramName,startDate,title
1201733,09/07/2012,08/31/2015,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Development of an Ice-Tethered Winch for the Seasonal Ice Zone
1203132,07/31/2012,07/31/2017,ARCTIC SOCIAL SCIENCES,08/01/2012,"Factors Related to Teacher Retention in Arctic Alaska, an Integral Part of the Circumpolar North"
1203146,09/06/2012,08/31/2018,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Eurasian and Makarov basins observational network targets changes in the Arctic Ocean
1203240,07/06/2012,06/30/2015,ARCTIC NATURAL SCIENCES,07/15/2012,InMotion: Influx of Momentum into the Arctic Ocean  - Changes Associated with Sea Ice Reduction
1203250,08/28/2012,08/31/2015,AON IMPLEMENTATION,09/01/2012,Ultraviolet Radiation in the Arctic: 2012-2015
1203262,06/04/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/15/2012,Collaborative Research:  Seasonal Synergy between Bacterial Osmoprotection and Algal Production in Sea Ice
1203267,06/04/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/15/2012,Collaborative Research: Seasonal Synergy between Bacterial Osmoprotection and Algal Production in Sea Ice
1203268,09/05/2012,08/31/2014,ARCTIC SOCIAL SCIENCES,09/15/2012,Doctoral Dissertation Research:   Centennial Scale Human Ecodynamics at Skutustadir Iceland
1203271,08/25/2012,12/31/2016,ARCTIC SOCIAL SCIENCES,09/01/2012,"Collaborative Research:  Glacial Retreat and the Cultural Landscape of Ice Floe Sealing at Yakutat Bay, Alaska"
1203418,06/29/2012,09/30/2017,ARCTIC NATURAL SCIENCES,10/01/2012,Collaborative Research: In Situ Borehole Measurements To Partition The Velocity Of The Greenland Ice Sheet Into Ice Deformation And Basal Sliding Components
1203434,06/26/2012,12/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,01/01/2013,Deciphering the ecology of key diatom taxa to understand climate-induced changes in West Greenland lakes
1203440,08/24/2012,02/28/2017,ARCTIC SYSTEM SCIENCE PROGRAM,09/01/2012,Collaborative research: Warming and irradiance measurements in the Arctic: Determining the link between solar energy absorption and surface warming through long term observations
1203472,03/21/2012,08/31/2013,AON IMPLEMENTATION,03/15/2012,Collaborative Research: Quantifying changes in the Arctic hydrological cycle at the landscape scale using advances in water vapor isotope (18O & D) techniques and aircraft
1203473,09/06/2012,12/31/2019,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Eurasian and Makarov basins observational network targets changes in the Arctic Ocean
1203486,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2012,Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean
1203492,04/16/2012,03/31/2016,ARCTIC NATURAL SCIENCES,04/15/2012,"Marine Test of the Sensitivity of Ice Streams Entering Baffin Bay to Ocean Warming from LGM through Deglaciation, with an Emphasis on Central West Greenland Ice Streams"
1203496,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2012,Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean
1203506,09/24/2012,09/30/2017,AON IMPLEMENTATION,10/01/2012,UpTempO:  Measuring the Upper Layer Temperature of the Arctic Ocean
1203526,07/27/2012,07/31/2016,ARCTIC NATURAL SCIENCES,08/15/2012,Collaborative Research:  Evaluating the Competing Impacts of Global Emissions Reductions and Climate Change on the Distribution and Retention of selected POPs in the Arctic Ocean
1203533,07/25/2012,08/31/2016,ARCTIC NATURAL SCIENCES,09/01/2012,Assessment of the natural perchlorate source using perchlorate history  from Greenland ice cores.
1203558,08/14/2012,10/31/2016,ARCTIC NATURAL SCIENCES,11/01/2012,Collaborative Research: Using opportunistic radon measurements to estimate the gas transfer velocity in partial sea ice cover
1203583,09/13/2012,08/31/2014,AON IMPLEMENTATION,09/15/2012,Collaborative Research: Multi-Regional Scale Aircraft Observations of Methane and Carbon Dioxide Isotopic Fluxes in the Arctic
1203640,08/24/2012,08/31/2015,ARCTIC NATURAL SCIENCES,09/01/2012,Searching for Abrupt Climate Change Precursors Using Ultra High Resolution Ice Core Analysis
1203772,07/03/2012,01/31/2016,ARCTIC SYSTEM SCIENCE PROGRAM,02/01/2013,"Collaborative Research: Paleoclimate, Paleoenvironment and Other Potential Drivers of Extinction of Mammuthus primigenius, St. Paul Island, Pribilof Islands, Alaska."
1203773,07/27/2012,12/31/2017,ARCTIC NATURAL SCIENCES,01/01/2013,Weathering of western Greenland: Influences on oceanic fluxes of radiogenic isotopes
1203779,07/27/2012,07/31/2017,ARCTIC NATURAL SCIENCES,08/01/2012,Collaborative Research: Investigating the potential of carbon-14 in polar firn and ice as a tracer of past cosmic ray flux and an absolute dating tool
