file,funding,funding_num
arctic-data.14605.2,1504345,1504345
arctic-data.14607.2,1504345,1504345
arctic-data.14609.1,1504345,1504345
arctic-data.14611.1,1504345,1504345
arctic-data.14613.1,1504345,1504345
arctic-data.14615.1,1504345,1504345
arctic-data.14617.3,1504345,1504345
arctic-data.14619.1,1504345,1504345
arctic-data.14646.10,1712031,1712031
arctic-data.14646.10,NSF- PLR-1712031,1712031
arctic-data.14654.4,NSF-GRFP 2014186,2014186
arctic-data.14654.4,NSF-1506155,1506155
arctic-data.14656.9,PLR1304544,1304544
arctic-data.14656.9,PLR1355654,1355654
arctic-data.14656.9,PLR1303879,1303879
arctic-data.14656.9,PLR1314156,1314156
arctic-data.14656.9,PLR1304692,1304692
arctic-data.14656.9,PLR1314358,1314358
arctic-data.14656.9,PLR1414314,1414314
arctic-data.14656.9,PLR1420932,1420932
arctic-data.14657.9,1107774,1107774
arctic-data.14661.22,1204169,1204169
arctic-data.14666.13,PLR-1304684,1304684
arctic-data.14667.3,1304270,1304270
arctic-data.14669.1,NSF CAREER 255228,255228
arctic-data.14669.1,DOE TES DE-SC0010568,0010568
arctic-data.14669.1,NSF IGERT 0966346,0966346
arctic-data.14674.3,1504934,1504934
arctic-data.14679.9, 1417345,1417345
arctic-data.14681.6,1303895,1303895
arctic-data.14681.6,  1304899,1304899
arctic-data.14686.17,ARC-1417300,1417300
arctic-data.14689.11,OPP-0908156,0908156
arctic-data.14689.11, OPP-0909454,0909454
arctic-data.14691.7,0909330,0909330
arctic-data.14693.7,1303895,1303895
arctic-data.14693.7, 1304899,1304899
arctic-data.14695.7,0909330,0909330
arctic-data.14695.7,1304337,1304337
arctic-data.14699.9,1203857,1203857
arctic-data.14700.7,1204082,1204082
arctic-data.14704.6,1304899,1304899
arctic-data.14706.6,1624927,1624927
arctic-data.14708.3,1624927,1624927
arctic-data.14710.5,1624927,1624927
arctic-data.14712.3,1624927,1624927
arctic-data.14714.6,1624927,1624927
arctic-data.14720.4,1503910,1503910
arctic-data.14720.4,1504288,1504288
arctic-data.14720.4,1504521,1504521
arctic-data.14720.4,1504191,1504191
arctic-data.14726.3,1503910,1503910
arctic-data.14726.3,1504288,1504288
arctic-data.14726.3,1504521,1504521
arctic-data.14726.3,1504191,1504191
arctic-data.14730.2,1504381,1504381
arctic-data.14730.2, 1432982,1432982
arctic-data.14731.6,1417789,1417789
arctic-data.14737.7,1203132,1203132
arctic-data.14738.5,NSF OPP 1304899,1304899
arctic-data.14739.14,NSF 1503559,1503559
arctic-data.14742.4,1417787,1417787
arctic-data.14753.13,PLR-1417745,1417745
arctic-data.14755.6,PLR-1341881,1341881
arctic-data.14757.9,ANT-0839122,0839122
arctic-data.14757.9,  PLR-1142517,1142517
arctic-data.14771.9,1561437,1561437
arctic-data.14785.24,1203418,1203418
arctic-data.14785.24,1203451,1203451
arctic-data.14787.11,1523025,1523025
arctic-data.14790.10,1023574,1023574
arctic-data.14800.17,1417640,1417640
arctic-data.14802.9,1545558,1545558
arctic-data.14804.8,1545558,1545558
arctic-data.14812.4,1303895,1303895
arctic-data.14812.4,1304899,1304899
arctic-data.14815.1,ARC-1107481,1107481
arctic-data.14815.1,ARC-1417300,1417300
arctic-data.14817.10,1304040,1304040
arctic-data.14817.10,1623764,1623764
arctic-data.14817.10,1103443,1103443
arctic-data.14819.7,1304040,1304040
arctic-data.14819.7,1623764,1623764
arctic-data.14819.7,1103443,1103443
arctic-data.14821.5,1304040,1304040
arctic-data.14821.5,1623764,1623764
arctic-data.14821.5,1103443,1103443
arctic-data.14823.7,1304040,1304040
arctic-data.14823.7,1623764,1623764
arctic-data.14823.7,1103443,1103443
arctic-data.14825.7,1304040,1304040
arctic-data.14825.7,1623764,1623764
arctic-data.14825.7,1545558,1545558
arctic-data.14828.5,1023574,1023574
arctic-data.14830.6,1023574,1023574
arctic-data.1577.4,1023318,1023318
arctic-data.1579.4,1023318,1023318
arctic-data.2370.8,PLR-1108425,1108425
arctic-data.2370.8,PLR-1107381,1107381
arctic-data.3942.6,1107981,1107981
arctic-data.3944.5,1107981,1107981
arctic-data.3946.4,1107981,1107981
arctic-data.3948.4,1107981,1107981
arctic-data.3950.5,1107981,1107981
arctic-data.3952.6,1107981,1107981
arctic-data.3954.5,1107981,1107981
arctic-data.3956.6,1107981,1107981
arctic-data.3958.6,1107981,1107981
arctic-data.6151.8,1204176,1204176
arctic-data.6158.4,1204176,1204176
arctic-data.6164.5,1204176,1204176
arctic-data.6166.6,1204176,1204176
arctic-data.6170.7,ARC-1107411,1107411
arctic-data.6172.7,1203772,1203772
arctic-data.6183.3,1108306,1108306
arctic-data.6185.5,PLR-110738,110738
arctic-data.6187.6,1339465,1339465
arctic-data.6192.12,1304879,1304879
arctic-data.6194.1,1304879,1304879
arctic-data.6196.9,1304879,1304879
arctic-data.6228.6,0612534,0612534
arctic-data.6233.3,1203434,1203434
arctic-data.6236.6,1107885,1107885
arctic-data.6238.5,1107885,1107885
arctic-data.6240.6,1107885,1107885
arctic-data.6244.2,1534673,1534673
arctic-data.7732.4,1023331,1023331
arctic-data.7734.2,1107411,1107411
arctic-data.7753.4,1432277,1432277
arctic-data.7764.1,1432277,1432277
arctic-data.7773.1,1432277,1432277
arctic-data.7774.1,1432277,1432277
arctic-data.7775.1,1432277,1432277
arctic-data.7776.1,1432277,1432277
arctic-data.7787.1, 0856845,0856845
arctic-data.7787.1, 0968391,0968391
arctic-data.7787.1, 0909541,0909541
arctic-data.7787.1, 1023672,1023672
arctic-data.7787.1, 1023318,1023318
arctic-data.7787.1,1023672,1023672
arctic-data.7787.1,0856845,0856845
arctic-data.7787.1,1023318,1023318
arctic-data.7787.1,0909541,0909541
arctic-data.7787.1,0968391,0968391
arctic-data.7787.1,0538416,0538416
arctic-data.7787.1,1204176,1204176
arctic-data.7789.5, 0856845,0856845
arctic-data.7789.5, 0968391,0968391
arctic-data.7789.5, 0909541,0909541
arctic-data.7789.5, 1023672,1023672
arctic-data.7789.5, 1023318,1023318
arctic-data.7789.5,1023672,1023672
arctic-data.7789.5,0856845,0856845
arctic-data.7789.5,1023318,1023318
arctic-data.7789.5,0909541,0909541
arctic-data.7789.5,0968391,0968391
arctic-data.7789.5,0538416,0538416
arctic-data.7789.5,1204176,1204176
arctic-data.7791.7,1107411,1107411
arctic-data.7792.20,1203473,1203473
arctic-data.7799.4,0856531,0856531
arctic-data.7837.4,0856531,0856531
arctic-data.7838.2,0856531,0856531
arctic-data.7839.2,0856531,0856531
arctic-data.7840.3,0856531,0856531
arctic-data.7841.3,0424864,0424864
arctic-data.7842.3,0424864,0424864
arctic-data.7843.4,0424864,0424864
arctic-data.9351.2,0856531,0856531
arctic-data.9361.2,1203861,1203861
arctic-data.9368.1,1203861,1203861
arctic-data.9373.2,1107411,1107411
arctic-data.9379.6,1416961,1416961
arctic-data.9381.5,1416961,1416961
arctic-data.9383.3,1416961,1416961
arctic-data.9384.5,0856531,0856531
arctic-data.9389.1,1418000,1418000
arctic-data.9390.1,1418000,1418000
arctic-data.9391.1,1418000,1418000
arctic-data.9394.1,0856531,0856531
arctic-data.9397.2,0424864,0424864
arctic-data.9400.2,0424864,0424864
arctic-data.9403.2,0424864,0424864
arctic-data.9408.8,1203146,1203146
arctic-data.9408.8,1203473,1203473
arctic-data.9409.6,1204176,1204176
arctic-data.9411.4,1304052,1304052
arctic-data.9414.4,1203473,1203473
arctic-data.9418.5,1263005,1263005
arctic-data.9418.5,1262871,1262871
arctic-data.9422.5,1503928,1503928
arctic-data.9424.1,1503928,1503928
arctic-data.9431.7,1023537,1023537
arctic-data.9433.10,1023537,1023537
arctic-data.9445.4,1204082,1204082
arctic-data.9445.4,1107645,1107645
arctic-data.9448.5,1204082,1204082
arctic-data.9450.4,0732885,0732885
arctic-data.9452.5,ARC-1303730,1303730
arctic-data.9454.6,ARC-1303730,1303730
arctic-data.9456.4,1023537,1023537
arctic-data.9459.3,1023537,1023537
arctic-data.9464.2,1022139,1022139
arctic-data.9493.3,1204082,1204082
arctic-data.9497.15,1204145,1204145
arctic-data.9499.8,1204145,1204145
arctic-data.9511.3,1203838,1203838
arctic-data.9512.2,1203838,1203838
arctic-data.9513.6,1263005,1263005
arctic-data.9513.6,1262871,1262871
arctic-data.9514.1,1107854,1107854
arctic-data.9519.1,1107381,1107381
arctic-data.9521.8,1107381,1107381
arctic-data.9523.3,1107381,1107381
arctic-data.9526.13,1107942,1107942
arctic-data.9529.7,1204110,1204110
arctic-data.9532.8,1107942,1107942
arctic-data.9543.1,1204110,1204110
arctic-data.9545.3,1304563,1304563
arctic-data.9547.3,1304563,1304563
arctic-data.9548.2,1203902,1203902
arctic-data.9552.3,1203902,1203902
arctic-data.9554.5,1203558,1203558
arctic-data.9556.6,0904050,0904050
arctic-data.9558.1,0904050,0904050
arctic-data.9560.8,   1303879,1303879
arctic-data.9560.8,   1023574,1023574
arctic-data.9560.8, 1314156,1314156
arctic-data.9567.3,1023331,1023331
arctic-data.9570.3,1314156,1314156
arctic-data.9571.1,1314156,1314156
arctic-data.9583.2,1023331,1023331
arctic-data.9585.2,1106362,1106362
arctic-data.9587.15,1546002,1546002
arctic-data.9590.11,1204082,1204082
arctic-data.9644.3,1023477,1023477
arctic-data.9657.3,1418000,1418000
arctic-data.9659.4,1546002,1546002
arctic-data.9660.6,1418000,1418000
arctic-data.9663.4,1203486,1203486
arctic-data.9665.1,1203486,1203486
arctic-data.9670.5,1304563,1304563
arctic-data.9670.5,1303617,1303617
arctic-data.9674.1,1204070,1204070
arctic-data.9676.5,1203267,1203267
arctic-data.9677.10,1203779,1203779
arctic-data.9677.10,1203686,1203686
arctic-data.9677.10,1204084,1204084
arctic-data.9687.1,1023191,1023191
arctic-data.9688.1,1023191,1023191
arctic-data.9689.1,1023191,1023191
arctic-data.9690.1,1023191,1023191
arctic-data.9695.1,1023191,1023191
arctic-data.9696.12,1023191,1023191
arctic-data.9698.5,1525636,1525636
arctic-data.9698.5,1107381,1107381
arctic-data.9698.5,0902125,0902125
arctic-data.9698.5,0732168,0732168
arctic-data.9698.5,0713994,0713994
arctic-data.9698.5,0732168,0732168
arctic-data.9698.5,1107381,1107381
arctic-data.9698.5,0902125,0902125
arctic-data.9698.5,0713994,0713994
arctic-data.9723.1,1204070,1204070
arctic-data.9727.4,1204070,1204070
arctic-data.9733.1,1204070,1204070
arctic-data.9734.1,1204070,1204070
arctic-data.9743.1,1204070,1204070
arctic-data.9752.1,1204070,1204070
arctic-data.9784.1,1204070,1204070
arctic-data.9785.1,1204070,1204070
arctic-data.9787.1,1204070,1204070
arctic-data.9789.11,1023191,1023191
arctic-data.9797.3,1204070,1204070
arctic-data.9799.8,1204176,1204176
arctic-data.9804.4,1108425,1108425
arctic-data.9806.3,1108425,1108425
arctic-data.9808.3,1108425,1108425
arctic-data.9810.3,1108425,1108425
arctic-data.9812.3,1108425,1108425
arctic-data.9814.3,1108425,1108425
arctic-data.9816.3,1108425,1108425
arctic-data.9820.9,1203486,1203486
arctic-data.9822.8,1204084,1204084
arctic-data.9824.3,1203526,1203526
arctic-data.9825.3,1204013,1204013
arctic-data.9827.23,1432277,1432277
arctic-data.9829.4,1204176,1204176
arctic-data.9831.4,1204176,1204176
arctic-data.9834.26,1432277,1432277
