funding_num,funding_text,n_datasets,nsf_match,min_pubDate,min_dateUploaded
1103443,1103443; NSF Award 1103443,6,TRUE,2013-12-16T00:00:00Z,2017-05-04T12:04:44Z
1106317,PLR 1106317; NSF 1106317,2,TRUE,2016-12-13T00:00:00Z,2016-12-14T10:34:34Z
1106362,1106362,1,TRUE,2016-10-17T00:00:00Z,2016-10-20T16:38:22Z
1107106,1107106,49,TRUE,2014-10-07T00:00:00Z,2017-01-20T22:44:09Z
1107343,NSF Award 1107343,2,TRUE,2015-04-15T00:00:00Z,2017-09-08T10:23:00Z
1107346,1107346; NSF Award 1107346,5,TRUE,2014-12-10T00:00:00Z,2017-02-06T14:34:21Z
1107381,PLR-1107381; 1107381,7,TRUE,2016-04-19T00:00:00Z,2016-09-15T16:00:00Z
1107398,NSF Award 1107398,1,TRUE,2014-05-02T00:00:00Z,2017-09-22T17:02:44Z
1107411,ARC-1107411; 1107411,4,TRUE,2016-06-09T00:00:00Z,2016-06-17T15:56:27Z
1107428,NSF Award 1107428,2,TRUE,2015-12-03T00:00:00Z,2016-04-02T01:07:17Z
1107440,1107440; NSF Award 1107440,2,TRUE,2015-11-23T00:00:00Z,2016-04-02T09:12:53Z
1107481,1107481; ARC-1107481; NSF Award 1107481,4,TRUE,2012-11-01T00:00:00Z,2016-12-01T11:27:09Z
1107491,1107491,8,TRUE,2017-04-20T00:00:00Z,2017-09-18T14:41:57Z
1107498,NSF Award 1107498,1,TRUE,2015-11-26T00:00:00Z,2017-09-22T15:31:16Z
1107524,NSF Award 1107524,1,TRUE,2015-10-02T00:00:00Z,2017-08-25T12:34:05Z
1107593,1107593,2,TRUE,2016-12-09T00:00:00Z,2016-12-09T16:00:00Z
1107607,NSF Award 1107607,2,TRUE,2012-11-01T00:00:00Z,2016-12-01T11:27:09Z
1107623,NSF Award 1107623,1,TRUE,2015-09-30T00:00:00Z,2016-04-02T08:58:21Z
1107645,1107645; NSF Award 1107645,4,TRUE,2016-01-27T00:00:00Z,2016-04-02T09:20:08Z
1107662,1107662;                 1107662,2,TRUE,NA,2017-02-21T15:51:20Z
1107695,NSF Award 1107695,1,TRUE,2014-09-03T00:00:00Z,2017-08-17T14:30:29Z
1107725,NSF Award 1107725,3,TRUE,2015-12-23T00:00:00Z,2016-04-01T23:04:21Z
1107737,1107737,314,TRUE,NA,2017-07-13T20:59:49Z
1107761,NSF Award 1107761,1,TRUE,2015-10-08T00:00:00Z,2017-09-22T11:08:37Z
1107774,1107774,1,TRUE,2018-03-22T00:00:00Z,2018-04-06T10:53:08Z
1107792,NSF Award 1107792,8,TRUE,2012-11-01T00:00:00Z,2016-04-01T22:48:03Z
1107798,NSF Award 1107798,1,TRUE,2015-02-04T00:00:00Z,2016-04-02T09:10:01Z
1107801,1107801,1,TRUE,2018-01-05T00:00:00Z,2018-01-05T17:09:40Z
1107854,1107854,1,TRUE,2016-09-09T00:00:00Z,2016-09-09T16:00:00Z
1107885,1107885;                 1107885,4,TRUE,NA,2016-06-01T12:23:35Z
1107892,1107892,1,TRUE,2017-05-28T00:00:00Z,2017-07-31T12:46:38Z
1107942,1107942; NSF Award 1107942,5,TRUE,NA,2016-09-29T09:11:32Z
1107981,1107981; NSF Award 1107981,10,TRUE,2015-12-10T00:00:00Z,2016-06-09T20:42:52Z
1108074,1108074,4,TRUE,2017-03-30T00:00:00Z,2017-03-30T16:00:00Z
1108200,1108200; NSF Award 1108200,2,TRUE,2015-11-23T00:00:00Z,2016-04-02T09:12:53Z
1108306,1108306,1,TRUE,2016-05-05T00:00:00Z,2016-05-13T15:53:25Z
1108391,1108391,2,TRUE,2017-12-08T00:00:00Z,2017-12-13T16:39:04Z
1108425,PLR-1108425; 1108425; NSF Award 1108425,10,TRUE,2012-11-12T00:00:00Z,2016-04-02T08:54:43Z
1108427,1108427; NSF Award 1108427,2,TRUE,2015-10-15T00:00:00Z,2016-04-02T09:34:16Z
1108451,NSF Award 1108451,1,TRUE,2015-02-27T00:00:00Z,2016-04-02T09:02:42Z
1108571,1108571,1,TRUE,2017-09-12T00:00:00Z,2017-09-12T15:39:24Z
1111395,NSF Award 1111395,1,TRUE,2015-09-28T00:00:00Z,2016-04-02T09:11:08Z
1111882,NSF Award 1111882,1,TRUE,2014-07-08T00:00:00Z,2016-04-02T09:21:24Z
1115332,NSF Award 1115332,1,TRUE,2012-08-21T00:00:00Z,2016-04-02T09:16:21Z
1130008,1130008,1,TRUE,2014-10-16T00:00:00Z,2018-05-17T11:42:02Z
1140098,NSF Award 1140098,1,TRUE,2012-11-26T00:00:00Z,2016-04-02T09:32:50Z
1142145,1142145,1,TRUE,2017-10-02T00:00:00Z,2017-10-25T15:24:14Z
1142201,1142201,1,TRUE,2017-02-17T00:00:00Z,2017-10-10T12:35:34Z
1148800,1148800; NSF Award 1148800,24,TRUE,2014-12-02T00:00:00Z,2016-04-02T09:27:35Z
1201733,NSF Award 1201733,1,TRUE,2014-10-27T00:00:00Z,2017-08-08T10:40:57Z
1203132,1203132,1,TRUE,2018-03-26T00:00:00Z,2018-04-26T13:16:49Z
