funding_num,n_datasets,dataset_ids,funding_text,min_pubDate,min_dateUploaded,date,expDate,fundProgramName,startDate,title
0813635,1,autogen.2016032221145732188.4,NSF Award 0813635,2015-08-10T00:00:00Z,2017-07-31T12:15:54Z,07/31/2008,01/31/2015,ARCTIC SOCIAL SCIENCES,08/15/2008,Learning about environmental research in the context of climate change: an international scholastic interchange
0839122,3,arctic-data.14757.9; arctic-data.9887.9; autogen.2018042312561871200.1,ANT-0839122; 0839122,2016-12-08T00:00:00Z,2017-05-12T11:41:10Z,06/10/2009,12/31/2013,ANTARCTIC GLACIOLOGY,01/01/2010,Collaborative Research: Integrated High Resolution Chemical and Biological Measurements on the Deep WAIS Divide Core
0842779,1,autogen.2016032221253192065.2,NSF Award 0842779,2010-06-05T00:00:00Z,2016-04-02T08:55:04Z,10/31/2008,11/30/2010,AON IMPLEMENTATION,12/01/2008,Science Plan and Workshop Support for Bering Strait Environmental Observations
0852077,2,autogen.2016032221021779588.3; autogen.2016032221022186889.2,0852077; NSF Award 0852077,2014-06-25T00:00:00Z,2016-04-02T09:08:11Z,07/13/2009,07/31/2012,POST DOC/TRAVEL,08/01/2009,PostDoctoral Research Fellowship
0855748,5,autogen.2016032220380506302.2; autogen.2016032220380859803.2; autogen.2016032220381648205.3; autogen.2016032220382100806.2; autogen.2016032220382491007.2,NSF Award NSF ARC-0855748; NSF Award ARC - 0855748; NSF Award 0855748,2010-06-05T00:00:00Z,2016-04-02T01:28:24Z,07/06/2009,08/31/2015,AON IMPLEMENTATION,09/01/2009,"Collaborative Research: An Ocean Observing System for the Bering Strait, the Pacific Gateway to the Arctic - an integral part of the Arctic Observing Network"
0855828,1,autogen.2016032220502966400.2,NSF Award 0855828,2010-06-05T00:00:00Z,2016-04-02T09:26:19Z,08/04/2009,07/31/2014,AON IMPLEMENTATION,08/15/2009,Collaborative Proposal: An Interdisciplinary Monitoring Mooring in the Western  Arctic Boundary Current: Climatic Forcing and Ecosystem Response
0856177,1,autogen.2016032222050654780.8,NSF Award 0856177,2010-06-05T00:00:00Z,2017-08-08T14:29:38Z,05/21/2009,09/30/2013,AON IMPLEMENTATION,06/15/2009,UpTempO: Measuring the Upper Layer Temperature of the Arctic Ocean
0856214,1,autogen.2016032221322164575.2,NSF Award 0856214,2014-07-11T00:00:00Z,2016-04-02T09:12:10Z,08/14/2009,08/31/2012,PHYSICAL OCEANOGRAPHY,09/01/2009,Collaborative Research: Sustained Observations of the North Pole Environment to Characterize Ongoing Arctic Change
0856268,2,autogen.2016032222025996647.2; autogen.2016032222030343948.2,NSF Award 0856268,2009-11-18T00:00:00Z,2016-04-02T01:05:45Z,07/16/2009,07/31/2013,AON IMPLEMENTATION,08/01/2009,Ultraviolet Radiation in the Arctic
0856305,1,autogen.2016032220455397527.2,NSF Award 0856305,2012-11-15T00:00:00Z,2016-04-02T09:17:03Z,08/26/2009,08/31/2014,AON IMPLEMENTATION,09/01/2009,Bering Sea Sub Network: A Distributed Human Sensor Array to Detect Arctic Environmental Change
0856330,2,arctic-data.14272.7; autogen.2016032221322164575.2,0856330; NSF Award 0856330,2014-07-11T00:00:00Z,2016-04-02T09:12:10Z,08/14/2009,08/31/2017,AON IMPLEMENTATION,09/01/2009,Collaborative Research: Sustained Observations of the North Pole Environment to Characterize Ongoing Arctic Change
0856421,1,autogen.2016032220475221560.2,NSF Award 0856421,2010-06-05T00:00:00Z,2016-04-02T09:09:03Z,08/03/2009,12/31/2009,AON IMPLEMENTATION,08/15/2009,The Circumpolar Active Layer Monitoring Network--CALM III (2009-2014): Long-term Observations on the Climate-Active Layer-Permafrost System
